year , AnnualFreshWater
2020,647.5
2019,647.5
2018,647.5
2017,647.5
2016,647.5
2015,647.5
2014,647.5
2013,647.5
2012,647.5
2011,647.5
2010,647.5
2009,643.78995
2008,640.0799
2007,636.36985
2006,632.6598
2005,628.94975
2004,625.2397
2003,655.57947
2002,640.51948
2001,625.45949
2000,610.3995
1999,599.35955
1998,588.3195
1997,577.2795
1996,566.2397
1995,555.19975
1994,544.1598
1993,533.11985
1992,522.0799
1991,511.03995
1990,500
1989,499.34
1988,498.68
1987,498.02
1986,497.36
1985,496.7
1984,485.03
1983,473.36
1982,461.69
1981,450.02
1980,438.35
1979,426.68
1978,415.01
1977,403.34
1976,391.67
1975,380
