year, Co2Intensity
2014,2.590952711
2013,2.534788993
2012,2.516576537
2011,2.436555663
2010,2.402218969
2009,2.365071783
2008,2.364434229
2007,2.327803863
2006,2.235044585
2005,2.204257098
2004,2.1888314
2003,2.15407555
2002,2.144090358
2001,2.132931139
2000,2.132408305
1999,2.098848725
1998,2.062033115
1997,2.065390954
1996,2.030326945
1995,1.996504627
1994,1.959793381
1993,1.930086788
1992,1.909012865
1991,1.906807617
1990,1.839893386
1989,1.975301272
1988,1.884630109
1987,1.839983674
1986,1.789321556
1985,1.727470145
1984,1.653665731
1983,1.680322869
1982,1.601866107
1981,1.61245188
1980,1.569963127
1979,1.522355844
1978,1.51804988
1977,1.517035884
1976,1.475129512
1975,1.466979682
1974,1.397304983
1973,1.404279931
1972,1.402495027
1971,1.356024117
