year, Co2emission(FromSolidFuel)
2016,1516605.194
2015,1488152.941
2014,1487808.243
2013,1326152.215
2012,1363548.281
2011,1210839.733
2010,1093532.403
2009,1088420.605
2008,1007497.249
2007,931927.713
2006,855698.117
2005,798071.212
2004,741104.367
2003,692344.268
2002,662153.857
2001,643881.196
2000,633701.604
1999,620042.029
1998,579774.702
1997,583753.397
1996,558066.062
1995,521810.433
1994,504106.157
1993,479108.218
1992,455096.702
1991,434774.188
1990,405430.854
1989,375687.817
1988,350847.559
1987,322846.347
1986,302175.468
1985,280184.469
1984,256073.944
1983,257207.047
1982,235751.43
1981,232634.48
1980,218289.176
1979,199800.162
1978,193236.232
1977,196356.849
1976,186855.652
1975,178465.556
1974,161102.311
1973,152440.857
1972,148641.845
1971,140449.767
1970,136669.09
1969,136463.738
1968,136973.451
1967,131740.642
1966,129404.763
1965,128818.043
1964,117167.984
1963,122144.103
1962,114227.05
1961,104956.874
1960,97208.503
