year, Co2emission(MetricTons)
2020,1.576093232
2019,1.752534366
2018,1.795595299
2017,1.704926721
2016,1.639914019
2015,1.631323487
2014,1.642465277
2013,1.5276744
2012,1.498204123
2011,1.396878498
2010,1.338033835
2009,1.278873603
2008,1.180361247
2007,1.123599482
2006,1.036533922
2005,0.984261473
2004,0.955470157
2003,0.905456602
2002,0.897242649
2001,0.883746998
2000,0.885077949
1999,0.866242339
1998,0.818720963
1997,0.817360076
1996,0.787231756
1995,0.76518964
1994,0.725622135
1993,0.703136167
1992,0.69007405
1991,0.683086373
1990,0.647451316
