year, Co2emission(fromLiquidFuel)
2016,648956.324
2015,599316.145
2014,510915.776
2013,461172.921
2012,435357.241
2011,412508.164
2010,414257.323
2009,454836.345
2008,403403.003
2007,335739.519
2006,316902.14
2005,300011.938
2004,296858.318
2003,293851.378
2002,284834.225
2001,298068.428
2000,303752.278
1999,285483.284
1998,263107.25
1997,244401.883
1996,243360.455
1995,216459.343
1994,199118.1
1993,187031.668
1992,188208.775
1991,166558.807
1990,158297.056
1989,150838.378
1988,133724.489
1987,127776.615
1986,121957.086
1985,116856.289
1984,106192.653
1983,99251.022
1982,94483.922
1981,89786.495
1980,83244.567
1979,82731.187
1978,75378.852
1977,68613.237
1976,63490.438
1975,61887.959
1974,60677.849
1973,61799.951
1972,58925.023
1971,55489.044
1970,49372.488
1969,45386.459
1968,42284.177
1967,32724.308
1966,35705.579
1965,30839.47
1964,28144.225
1963,27128.466
1962,24906.264
1961,21327.272
1960,19460.769
