year, Co2emission(fromgaseousfuel)
2016,95829.711
2015,98994.332
2014,92694.426
2013,101883.928
2012,78151.104
2011,91443.979
2010,100318.119
2009,91245.961
2008,63098.069
2007,52738.794
2006,49482.498
2005,50479.922
2004,49625.511
2003,50028.881
2002,47172.288
2001,43604.297
2000,43908.658
1999,42350.183
1998,47634.33
1997,46061.187
1996,39779.616
1995,39082.886
1994,29024.305
1993,27018.456
1992,27278.813
1991,23582.477
1990,21114.586
1989,18533.018
1988,15218.05
1987,12786.829
1986,10318.938
1985,7205.655
1984,6175.228
1983,5247.477
1982,4363.73
1981,2885.929
1980,2489.893
1979,3032.609
1978,2742.916
1977,2482.559
1976,2295.542
1975,1734.491
1974,1360.457
1973,1169.773
1972,1206.443
1971,1085.432
1970,924.084
1969,997.424
1968,751.735
1967,487.711
1966,311.695
1965,282.359
1964,22.002
1963,11.001
1962,11.001
1961,3.667
1960,0
