year , NitrousOxide
2020,279003.7915
2019,270295.0167
2018,262245.7637
2017,255416.4139
2016,250961.7297
2015,251795.1637
2014,247787.4961
2013,245042.2217
2012,244752.2886
2011,246511.1986
2010,238635.2294
2009,229988.777
2008,225008.8538
2007,220323.7052
2006,210803.7126
2005,201223.5008
2004,191581.9456
2003,184934.1134
2002,177745.4976
2001,183733.2662
2000,179573.8452
1999,182864.6807
1998,179821.1359
1997,175914.9424
1996,170707.7617
1995,165728.9679
1994,162217.287
1993,156514.6559
1992,152966.3629
1991,148819.3808
1990,144668.4392
