year , TotalPopulation
2022,1417173173
2021,1407563842
2020,1396387127
2019,1383112050
2018,1369003306
2017,1354195680
2016,1338636340
2015,1322866505
2014,1307246509
2013,1291132063
2012,1274487215
2011,1257621191
2010,1240613620
2009,1223640160
2008,1206734806
2007,1189691809
2006,1172373788
2005,1154638713
2004,1136264583
2003,1117415123
2002,1098313039
2001,1078970907
2000,1059633675
1999,1040500054
1998,1021434576
1997,1002335230
1996,983281218
1995,964279129
1994,945261958
1993,926351297
1992,907574049
1991,888941756
1990,870452165
1989,852012673
1988,833729681
1987,815716125
1986,797878993
1985,780242084
1984,762895156
1983,745826546
1982,729169466
1981,712869298
1980,696828385
1979,681248383
1978,666267760
1977,651685628
1976,637451448
1975,623524219
1974,609721951
1973,596107483
1972,582837973
1971,569999178
1970,557501301
1969,545314670
1968,533431909
1967,521987069
1966,510992617
1965,500114346
1964,489059309
1963,477933619
1962,467024193
1961,456351876
1960,445954579
