year,UrbanPopulation
2022,508368361
2021,498179071
2020,487702168
2019,476786386
2018,465871825
2017,455009748
2016,444186310
2015,433595954
2014,423338709
2013,413200994
2012,403171286
2011,393333604
2010,383721793
2009,374274816
2008,364989009
2007,355789232
2006,346659205
2005,337558628
2004,328414552
2003,319267849
2002,310207535
2001,301227098
2000,293168849
1999,285648480
1998,278238779
1997,270911166
1996,263686524
1995,256565748
1994,249539704
1993,242620668
1992,235824041
1991,229151406
1990,222374415
1989,215601807
1988,208957670
1987,202485214
1986,196158550
1985,189973343
1984,183956909
1983,178095921
1982,172426704
1981,166932604
1980,160953420
1979,154888632
1978,149104062
1977,143540276
1976,138180350
1975,133010186
1974,127986735
1973,123114078
1972,118438504
1971,113948536
1970,110162257
1969,106674456
1968,103304423
1967,100070141
1966,96971069
1965,93946480
1964,90940579
1963,87963683
1962,85082467
1961,82289370
1960,79932899
