Year,Indicator Name,Value
2021,Forest area (sq. km),724264
2020,Forest area (sq. km),721600
2019,Forest area (sq. km),718936
2018,Forest area (sq. km),716272
2017,Forest area (sq. km),713608
2016,Forest area (sq. km),710944
2015,Forest area (sq. km),708280
2014,Forest area (sq. km),705616
2013,Forest area (sq. km),702952
2012,Forest area (sq. km),700288
2011,Forest area (sq. km),697624
2010,Forest area (sq. km),694960
2009,Forest area (sq. km),693055
2008,Forest area (sq. km),691150
2007,Forest area (sq. km),689245
2006,Forest area (sq. km),687340
2005,Forest area (sq. km),685435
2004,Forest area (sq. km),683530
2003,Forest area (sq. km),681625
2002,Forest area (sq. km),679720
2001,Forest area (sq. km),677815
2000,Forest area (sq. km),675910
1999,Forest area (sq. km),672257
1998,Forest area (sq. km),668604
1997,Forest area (sq. km),664951
1996,Forest area (sq. km),661298
1995,Forest area (sq. km),657645
1994,Forest area (sq. km),653992
1993,Forest area (sq. km),650339
1992,Forest area (sq. km),646686
1991,Forest area (sq. km),643033
1990,Forest area (sq. km),639380
2021,Agricultural irrigated land (% of total agricultural land),42.26577835
2020,Agricultural irrigated land (% of total agricultural land),42.2658231
2019,Agricultural irrigated land (% of total agricultural land),39.96421599
2018,Agricultural irrigated land (% of total agricultural land),38.789308
2017,Agricultural irrigated land (% of total agricultural land),38.30101211
2016,Agricultural irrigated land (% of total agricultural land),37.47675105
2015,Agricultural irrigated land (% of total agricultural land),38.05927369
2014,Agricultural irrigated land (% of total agricultural land),37.89949257
2013,Agricultural irrigated land (% of total agricultural land),36.78560696
2012,Agricultural irrigated land (% of total agricultural land),36.32947752
2011,Agricultural irrigated land (% of total agricultural land),35.39878666
2010,Agricultural irrigated land (% of total agricultural land),34.49237914
2009,Agricultural irrigated land (% of total agricultural land),35.34164871
2008,Agricultural irrigated land (% of total agricultural land),34.65011098
2007,Agricultural irrigated land (% of total agricultural land),34.93207883
2006,Agricultural irrigated land (% of total agricultural land),33.81654864
2005,Agricultural irrigated land (% of total agricultural land),32.86921377
2004,Agricultural irrigated land (% of total agricultural land),31.63298683
2003,Agricultural irrigated land (% of total agricultural land),30.7335963
2002,Agricultural irrigated land (% of total agricultural land),31.53300842
2001,Agricultural irrigated land (% of total agricultural land),32.20730579
2022,Cereal yield (kg per hectare),3566.6
2021,Cereal yield (kg per hectare),3497.9
2020,Cereal yield (kg per hectare),3383.4
2019,Cereal yield (kg per hectare),3416.1
2018,Cereal yield (kg per hectare),3278.1
2017,Cereal yield (kg per hectare),3127.7
2016,Cereal yield (kg per hectare),2995.1
2015,Cereal yield (kg per hectare),2854
2014,Cereal yield (kg per hectare),2966.4
2013,Cereal yield (kg per hectare),2977.5
2012,Cereal yield (kg per hectare),2963.5
2011,Cereal yield (kg per hectare),2860.7
2010,Cereal yield (kg per hectare),2676.4
2009,Cereal yield (kg per hectare),2580.8
2008,Cereal yield (kg per hectare),2637.9
2007,Cereal yield (kg per hectare),2583.3
2006,Cereal yield (kg per hectare),2446.5
2005,Cereal yield (kg per hectare),2411.6
2004,Cereal yield (kg per hectare),2350
2003,Cereal yield (kg per hectare),2399.4
2002,Cereal yield (kg per hectare),2187.3
2001,Cereal yield (kg per hectare),2423.1
2000,Cereal yield (kg per hectare),2294.2
1999,Cereal yield (kg per hectare),2313.7
1998,Cereal yield (kg per hectare),2248.4
1997,Cereal yield (kg per hectare),2228.6
1996,Cereal yield (kg per hectare),2181
1995,Cereal yield (kg per hectare),2111.7
1994,Cereal yield (kg per hectare),2115.5
1993,Cereal yield (kg per hectare),2084.9
1992,Cereal yield (kg per hectare),2024.8
1991,Cereal yield (kg per hectare),1926.3
1990,Cereal yield (kg per hectare),1891.2
1989,Cereal yield (kg per hectare),1916.4
1988,Cereal yield (kg per hectare),1775.8
1987,Cereal yield (kg per hectare),1583.7
1986,Cereal yield (kg per hectare),1585.4
1985,Cereal yield (kg per hectare),1592.2
1984,Cereal yield (kg per hectare),1563.8
1983,Cereal yield (kg per hectare),1564.4
1982,Cereal yield (kg per hectare),1346.4
1981,Cereal yield (kg per hectare),1398.8
1980,Cereal yield (kg per hectare),1350
1979,Cereal yield (kg per hectare),1222.3
1978,Cereal yield (kg per hectare),1370.2
1977,Cereal yield (kg per hectare),1331.1
1976,Cereal yield (kg per hectare),1198.7
1975,Cereal yield (kg per hectare),1260.8
1974,Cereal yield (kg per hectare),1074.5
1973,Cereal yield (kg per hectare),1152.8
1972,Cereal yield (kg per hectare),1107.8
1971,Cereal yield (kg per hectare),1136.1
1970,Cereal yield (kg per hectare),1134.8
1969,Cereal yield (kg per hectare),1053.7
1968,Cereal yield (kg per hectare),1036.6
1967,Cereal yield (kg per hectare),993.7
1966,Cereal yield (kg per hectare),864.2
1965,Cereal yield (kg per hectare),854.4
1964,Cereal yield (kg per hectare),993.6
1963,Cereal yield (kg per hectare),965.8
1962,Cereal yield (kg per hectare),929.7
1961,Cereal yield (kg per hectare),947.3
2021,Access to electricity (% of population),99.57252502
2020,Access to electricity (% of population),96.5
2019,Access to electricity (% of population),95.88594055
2018,Access to electricity (% of population),95.7
2017,Access to electricity (% of population),91.79415894
2016,Access to electricity (% of population),89.58630371
2015,Access to electricity (% of population),88
2014,Access to electricity (% of population),85.13391113
2013,Access to electricity (% of population),83.13139343
2012,Access to electricity (% of population),79.9
2011,Access to electricity (% of population),79.51678467
2010,Access to electricity (% of population),76.3
2009,Access to electricity (% of population),75
2008,Access to electricity (% of population),74.11849213
2007,Access to electricity (% of population),72.3407135
2006,Access to electricity (% of population),67.9
2005,Access to electricity (% of population),68.8404541
2004,Access to electricity (% of population),64.4
2003,Access to electricity (% of population),65.41201019
2002,Access to electricity (% of population),62.3
2001,Access to electricity (% of population),62.00543976
2000,Access to electricity (% of population),60.29283905
1999,Access to electricity (% of population),60.1
1998,Access to electricity (% of population),56.18213272
1997,Access to electricity (% of population),54.59486389
1996,Access to electricity (% of population),53.00352097
1995,Access to electricity (% of population),51.40877533
1994,Access to electricity (% of population),49.81130981
1993,Access to electricity (% of population),50.9
2014,CO2 intensity (kg per kg of oil equivalent energy use),2.590952711
2013,CO2 intensity (kg per kg of oil equivalent energy use),2.534788993
2012,CO2 intensity (kg per kg of oil equivalent energy use),2.516576537
2011,CO2 intensity (kg per kg of oil equivalent energy use),2.436555663
2010,CO2 intensity (kg per kg of oil equivalent energy use),2.402218969
2009,CO2 intensity (kg per kg of oil equivalent energy use),2.365071783
2008,CO2 intensity (kg per kg of oil equivalent energy use),2.364434229
2007,CO2 intensity (kg per kg of oil equivalent energy use),2.327803863
2006,CO2 intensity (kg per kg of oil equivalent energy use),2.235044585
2005,CO2 intensity (kg per kg of oil equivalent energy use),2.204257098
2004,CO2 intensity (kg per kg of oil equivalent energy use),2.1888314
2003,CO2 intensity (kg per kg of oil equivalent energy use),2.15407555
2002,CO2 intensity (kg per kg of oil equivalent energy use),2.144090358
2001,CO2 intensity (kg per kg of oil equivalent energy use),2.132931139
2000,CO2 intensity (kg per kg of oil equivalent energy use),2.132408305
1999,CO2 intensity (kg per kg of oil equivalent energy use),2.098848725
1998,CO2 intensity (kg per kg of oil equivalent energy use),2.062033115
1997,CO2 intensity (kg per kg of oil equivalent energy use),2.065390954
1996,CO2 intensity (kg per kg of oil equivalent energy use),2.030326945
1995,CO2 intensity (kg per kg of oil equivalent energy use),1.996504627
1994,CO2 intensity (kg per kg of oil equivalent energy use),1.959793381
1993,CO2 intensity (kg per kg of oil equivalent energy use),1.930086788
1992,CO2 intensity (kg per kg of oil equivalent energy use),1.909012865
1991,CO2 intensity (kg per kg of oil equivalent energy use),1.906807617
1990,CO2 intensity (kg per kg of oil equivalent energy use),1.839893386
1989,CO2 intensity (kg per kg of oil equivalent energy use),1.975301272
1988,CO2 intensity (kg per kg of oil equivalent energy use),1.884630109
1987,CO2 intensity (kg per kg of oil equivalent energy use),1.839983674
1986,CO2 intensity (kg per kg of oil equivalent energy use),1.789321556
1985,CO2 intensity (kg per kg of oil equivalent energy use),1.727470145
1984,CO2 intensity (kg per kg of oil equivalent energy use),1.653665731
1983,CO2 intensity (kg per kg of oil equivalent energy use),1.680322869
1982,CO2 intensity (kg per kg of oil equivalent energy use),1.601866107
1981,CO2 intensity (kg per kg of oil equivalent energy use),1.61245188
1980,CO2 intensity (kg per kg of oil equivalent energy use),1.569963127
1979,CO2 intensity (kg per kg of oil equivalent energy use),1.522355844
1978,CO2 intensity (kg per kg of oil equivalent energy use),1.51804988
1977,CO2 intensity (kg per kg of oil equivalent energy use),1.517035884
1976,CO2 intensity (kg per kg of oil equivalent energy use),1.475129512
1975,CO2 intensity (kg per kg of oil equivalent energy use),1.466979682
1974,CO2 intensity (kg per kg of oil equivalent energy use),1.397304983
1973,CO2 intensity (kg per kg of oil equivalent energy use),1.404279931
1972,CO2 intensity (kg per kg of oil equivalent energy use),1.402495027
1971,CO2 intensity (kg per kg of oil equivalent energy use),1.356024117
2016,CO2 emissions from gaseous fuel consumption (kt),95829.711
2015,CO2 emissions from gaseous fuel consumption (kt),98994.332
2014,CO2 emissions from gaseous fuel consumption (kt),92694.426
2013,CO2 emissions from gaseous fuel consumption (kt),101883.928
2012,CO2 emissions from gaseous fuel consumption (kt),78151.104
2011,CO2 emissions from gaseous fuel consumption (kt),91443.979
2010,CO2 emissions from gaseous fuel consumption (kt),100318.119
2009,CO2 emissions from gaseous fuel consumption (kt),91245.961
2008,CO2 emissions from gaseous fuel consumption (kt),63098.069
2007,CO2 emissions from gaseous fuel consumption (kt),52738.794
2006,CO2 emissions from gaseous fuel consumption (kt),49482.498
2005,CO2 emissions from gaseous fuel consumption (kt),50479.922
2004,CO2 emissions from gaseous fuel consumption (kt),49625.511
2003,CO2 emissions from gaseous fuel consumption (kt),50028.881
2002,CO2 emissions from gaseous fuel consumption (kt),47172.288
2001,CO2 emissions from gaseous fuel consumption (kt),43604.297
2000,CO2 emissions from gaseous fuel consumption (kt),43908.658
1999,CO2 emissions from gaseous fuel consumption (kt),42350.183
1998,CO2 emissions from gaseous fuel consumption (kt),47634.33
1997,CO2 emissions from gaseous fuel consumption (kt),46061.187
1996,CO2 emissions from gaseous fuel consumption (kt),39779.616
1995,CO2 emissions from gaseous fuel consumption (kt),39082.886
1994,CO2 emissions from gaseous fuel consumption (kt),29024.305
1993,CO2 emissions from gaseous fuel consumption (kt),27018.456
1992,CO2 emissions from gaseous fuel consumption (kt),27278.813
1991,CO2 emissions from gaseous fuel consumption (kt),23582.477
1990,CO2 emissions from gaseous fuel consumption (kt),21114.586
1989,CO2 emissions from gaseous fuel consumption (kt),18533.018
1988,CO2 emissions from gaseous fuel consumption (kt),15218.05
1987,CO2 emissions from gaseous fuel consumption (kt),12786.829
1986,CO2 emissions from gaseous fuel consumption (kt),10318.938
1985,CO2 emissions from gaseous fuel consumption (kt),7205.655
1984,CO2 emissions from gaseous fuel consumption (kt),6175.228
1983,CO2 emissions from gaseous fuel consumption (kt),5247.477
1982,CO2 emissions from gaseous fuel consumption (kt),4363.73
1981,CO2 emissions from gaseous fuel consumption (kt),2885.929
1980,CO2 emissions from gaseous fuel consumption (kt),2489.893
1979,CO2 emissions from gaseous fuel consumption (kt),3032.609
1978,CO2 emissions from gaseous fuel consumption (kt),2742.916
1977,CO2 emissions from gaseous fuel consumption (kt),2482.559
1976,CO2 emissions from gaseous fuel consumption (kt),2295.542
1975,CO2 emissions from gaseous fuel consumption (kt),1734.491
1974,CO2 emissions from gaseous fuel consumption (kt),1360.457
1973,CO2 emissions from gaseous fuel consumption (kt),1169.773
1972,CO2 emissions from gaseous fuel consumption (kt),1206.443
1971,CO2 emissions from gaseous fuel consumption (kt),1085.432
1970,CO2 emissions from gaseous fuel consumption (kt),924.084
1969,CO2 emissions from gaseous fuel consumption (kt),997.424
1968,CO2 emissions from gaseous fuel consumption (kt),751.735
1967,CO2 emissions from gaseous fuel consumption (kt),487.711
1966,CO2 emissions from gaseous fuel consumption (kt),311.695
1965,CO2 emissions from gaseous fuel consumption (kt),282.359
1964,CO2 emissions from gaseous fuel consumption (kt),22.002
1963,CO2 emissions from gaseous fuel consumption (kt),11.001
1962,CO2 emissions from gaseous fuel consumption (kt),11.001
1961,CO2 emissions from gaseous fuel consumption (kt),3.667
1960,CO2 emissions from gaseous fuel consumption (kt),0
2020,CO2 emissions (kt),2200836.3
2019,CO2 emissions (kt),2423951.4
2018,CO2 emissions (kt),2458175.9
2017,CO2 emissions (kt),2308804.4
2016,CO2 emissions (kt),2195248.5
2015,CO2 emissions (kt),2158023.2
2014,CO2 emissions (kt),2147107
2013,CO2 emissions (kt),1972429.4
2012,CO2 emissions (kt),1909442
2011,CO2 emissions (kt),1756744
2010,CO2 emissions (kt),1659983
2009,CO2 emissions (kt),1564881.1
2008,CO2 emissions (kt),1424383
2007,CO2 emissions (kt),1336737.1
2006,CO2 emissions (kt),1215205.2
2005,CO2 emissions (kt),1136466.4
2004,CO2 emissions (kt),1085666.9
2003,CO2 emissions (kt),1011770.9
2002,CO2 emissions (kt),985453.3
2001,CO2 emissions (kt),953537.3
2000,CO2 emissions (kt),937858.4
1999,CO2 emissions (kt),901325.2
1998,CO2 emissions (kt),836269.9
1997,CO2 emissions (kt),819268.8
1996,CO2 emissions (kt),774070.2
1995,CO2 emissions (kt),737856.4
1994,CO2 emissions (kt),685903
1993,CO2 emissions (kt),651351.1
1992,CO2 emissions (kt),626293.3
1991,CO2 emissions (kt),607224
1990,CO2 emissions (kt),563575.4
2016,CO2 emissions from liquid fuel consumption (kt),648956.324
2015,CO2 emissions from liquid fuel consumption (kt),599316.145
2014,CO2 emissions from liquid fuel consumption (kt),510915.776
2013,CO2 emissions from liquid fuel consumption (kt),461172.921
2012,CO2 emissions from liquid fuel consumption (kt),435357.241
2011,CO2 emissions from liquid fuel consumption (kt),412508.164
2010,CO2 emissions from liquid fuel consumption (kt),414257.323
2009,CO2 emissions from liquid fuel consumption (kt),454836.345
2008,CO2 emissions from liquid fuel consumption (kt),403403.003
2007,CO2 emissions from liquid fuel consumption (kt),335739.519
2006,CO2 emissions from liquid fuel consumption (kt),316902.14
2005,CO2 emissions from liquid fuel consumption (kt),300011.938
2004,CO2 emissions from liquid fuel consumption (kt),296858.318
2003,CO2 emissions from liquid fuel consumption (kt),293851.378
2002,CO2 emissions from liquid fuel consumption (kt),284834.225
2001,CO2 emissions from liquid fuel consumption (kt),298068.428
2000,CO2 emissions from liquid fuel consumption (kt),303752.278
1999,CO2 emissions from liquid fuel consumption (kt),285483.284
1998,CO2 emissions from liquid fuel consumption (kt),263107.25
1997,CO2 emissions from liquid fuel consumption (kt),244401.883
1996,CO2 emissions from liquid fuel consumption (kt),243360.455
1995,CO2 emissions from liquid fuel consumption (kt),216459.343
1994,CO2 emissions from liquid fuel consumption (kt),199118.1
1993,CO2 emissions from liquid fuel consumption (kt),187031.668
1992,CO2 emissions from liquid fuel consumption (kt),188208.775
1991,CO2 emissions from liquid fuel consumption (kt),166558.807
1990,CO2 emissions from liquid fuel consumption (kt),158297.056
1989,CO2 emissions from liquid fuel consumption (kt),150838.378
1988,CO2 emissions from liquid fuel consumption (kt),133724.489
1987,CO2 emissions from liquid fuel consumption (kt),127776.615
1986,CO2 emissions from liquid fuel consumption (kt),121957.086
1985,CO2 emissions from liquid fuel consumption (kt),116856.289
1984,CO2 emissions from liquid fuel consumption (kt),106192.653
1983,CO2 emissions from liquid fuel consumption (kt),99251.022
1982,CO2 emissions from liquid fuel consumption (kt),94483.922
1981,CO2 emissions from liquid fuel consumption (kt),89786.495
1980,CO2 emissions from liquid fuel consumption (kt),83244.567
1979,CO2 emissions from liquid fuel consumption (kt),82731.187
1978,CO2 emissions from liquid fuel consumption (kt),75378.852
1977,CO2 emissions from liquid fuel consumption (kt),68613.237
1976,CO2 emissions from liquid fuel consumption (kt),63490.438
1975,CO2 emissions from liquid fuel consumption (kt),61887.959
1974,CO2 emissions from liquid fuel consumption (kt),60677.849
1973,CO2 emissions from liquid fuel consumption (kt),61799.951
1972,CO2 emissions from liquid fuel consumption (kt),58925.023
1971,CO2 emissions from liquid fuel consumption (kt),55489.044
1970,CO2 emissions from liquid fuel consumption (kt),49372.488
1969,CO2 emissions from liquid fuel consumption (kt),45386.459
1968,CO2 emissions from liquid fuel consumption (kt),42284.177
1967,CO2 emissions from liquid fuel consumption (kt),32724.308
1966,CO2 emissions from liquid fuel consumption (kt),35705.579
1965,CO2 emissions from liquid fuel consumption (kt),30839.47
1964,CO2 emissions from liquid fuel consumption (kt),28144.225
1963,CO2 emissions from liquid fuel consumption (kt),27128.466
1962,CO2 emissions from liquid fuel consumption (kt),24906.264
1961,CO2 emissions from liquid fuel consumption (kt),21327.272
1960,CO2 emissions from liquid fuel consumption (kt),19460.769
2020,CO2 emissions (metric tons per capita),1.576093232
2019,CO2 emissions (metric tons per capita),1.752534366
2018,CO2 emissions (metric tons per capita),1.795595299
2017,CO2 emissions (metric tons per capita),1.704926721
2016,CO2 emissions (metric tons per capita),1.639914019
2015,CO2 emissions (metric tons per capita),1.631323487
2014,CO2 emissions (metric tons per capita),1.642465277
2013,CO2 emissions (metric tons per capita),1.5276744
2012,CO2 emissions (metric tons per capita),1.498204123
2011,CO2 emissions (metric tons per capita),1.396878498
2010,CO2 emissions (metric tons per capita),1.338033835
2009,CO2 emissions (metric tons per capita),1.278873603
2008,CO2 emissions (metric tons per capita),1.180361247
2007,CO2 emissions (metric tons per capita),1.123599482
2006,CO2 emissions (metric tons per capita),1.036533922
2005,CO2 emissions (metric tons per capita),0.984261473
2004,CO2 emissions (metric tons per capita),0.955470157
2003,CO2 emissions (metric tons per capita),0.905456602
2002,CO2 emissions (metric tons per capita),0.897242649
